"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"17491",910,"2018-10-03 17:58:50.4430","2018-10-03 18:14:01.4000",22,"South Station - 700 Atlantic Ave",42.352175,-71.055547,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2253,"Subscriber",1961,1
"17531",951,"2018-10-03 18:01:24.4640","2018-10-03 18:17:15.8330",14,"HMS/HSPH - Avenue Louis Pasteur at Longwood Ave",42.3374174845973,-71.1028611660004,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2488,"Subscriber",1959,2
"17593",1277,"2018-10-03 18:06:31.2390","2018-10-03 18:27:48.9100",141,"Kendall Street",42.3635601584299,-71.0821679234505,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2427,"Subscriber",1977,1
"17629",865,"2018-10-03 18:09:47.1090","2018-10-03 18:24:12.1090",3,"Colleges of the Fenway - Fenway at Avenue Louis Pasteur",42.3401151224924,-71.1006188392639,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3933,"Subscriber",1993,2
"18514",897,"2018-10-03 19:28:48.8470","2018-10-03 19:43:46.4300",23,"Boston City Hall - 28 State St",42.35892,-71.057629,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2714,"Subscriber",1996,1
"18759",1107,"2018-10-03 20:04:06.7960","2018-10-03 20:22:34.3850",24,"Seaport Square - Seaport Blvd at Northern Ave",42.3514819346086,-71.0443608462811,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,1189,"Subscriber",1987,2
"20386",1274,"2018-10-04 07:47:49.1470","2018-10-04 08:09:03.1930",125,"Hyde Square - Barbara St at Centre St",42.3217652572395,-71.1098416056711,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2058,"Subscriber",1994,2
"20700",193,"2018-10-04 08:08:36.0170","2018-10-04 08:11:49.6490",39,"Washington St at Rutland St",42.338514601786,-71.0740408301353,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2067,"Subscriber",1991,1
"21014",237,"2018-10-04 08:26:01.1100","2018-10-04 08:29:58.2400",16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3307,"Subscriber",1959,1
"21487",1113,"2018-10-04 08:53:11.5580","2018-10-04 09:11:45.4770",184,"Sidney Research Campus/ Erie Street at Waverly",42.357753094652,-71.1039340496063,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,571,"Subscriber",1992,1
"23049",419,"2018-10-04 13:00:59.3440","2018-10-04 13:07:59.1210",36,"Copley Square - Dartmouth St at Boylston St",42.3499346361189,-71.0773855447769,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3418,"Subscriber",1993,1
"23237",1640,"2018-10-04 13:32:48.6220","2018-10-04 14:00:08.8650",81,"Chinatown T Stop",42.352409,-71.062679,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3306,"Customer",1988,1
"23415",401,"2018-10-04 14:03:54.3380","2018-10-04 14:10:36.3270",16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3418,"Subscriber",1955,2
"23749",755,"2018-10-04 14:55:36.4080","2018-10-04 15:08:11.6180",26,"Washington St at Waltham St",42.341522,-71.068922,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3912,"Customer",1988,2
"23814",1458,"2018-10-04 15:05:53.6850","2018-10-04 15:30:12.3090",105,"Lower Cambridgeport at Magazine St / Riverside Rd",42.3572185031765,-71.1138716340065,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2999,"Subscriber",1964,1
